State,January,February,March,April,May,June,July,August,September,October,November,December
Alabama,10.2,10.2,10.1,10,10,10,9.9,9.7,9.4,9,8.6,8.3
Alaska,7.8,7.7,7.7,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.5,7.4
Arizona,9.8,9.7,9.7,9.7,9.7,9.7,9.7,9.6,9.4,9.2,9,8.8
Arkansas,8.5,8.5,8.5,8.5,8.5,8.4,8.4,8.3,8.2,8,7.9,7.8
California,12.1,12,11.9,11.8,11.8,11.8,11.8,11.7,11.6,11.5,11.3,11.2
Colorado,8.8,8.7,8.5,8.4,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2
Connecticut,9.2,9.2,9.2,9.1,9,8.9,8.8,8.7,8.6,8.5,8.4,8.3
Delaware,7.9,7.8,7.7,7.6,7.5,7.5,7.5,7.4,7.4,7.3,7.2,7.2
District of Columbia,9.6,9.8,10.1,10.3,10.4,10.5,10.5,10.4,10.3,10.1,10,9.9
Florida,10.7,10.5,10.4,10.3,10.2,10.2,10.1,9.9,9.7,9.5,9.3,9.1
Georgia,10.5,10.4,10.3,10.3,10.3,10.3,10.4,10.3,10.2,10.1,9.9,9.8
Hawaii,6.8,6.7,6.7,6.7,6.7,6.8,6.8,6.9,6.9,6.9,6.9,6.8
Idaho,8.7,8.7,8.6,8.6,8.5,8.4,8.3,8.2,8.1,8,7.9,7.8
Illinois,9.4,9.4,9.4,9.5,9.7,9.9,10,10.1,10,9.9,9.6,9.4
Indiana,9.2,9,8.9,8.9,9,9.2,9.3,9.4,9.4,9.2,9,8.8
Iowa,5.7,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.3
Kansas,6.9,6.9,6.8,6.6,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.1
Kentucky,9.8,9.7,9.6,9.6,9.5,9.5,9.5,9.4,9.3,9.1,8.9,8.6
Louisiana,8.3,8.2,8.1,8,7.9,7.8,7.7,7.7,7.6,7.6,7.6,7.5
Maine,8.1,8.1,8,8,8,7.9,7.9,7.8,7.8,7.7,7.7,7.7
Maryland,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.1,7
Massachusetts,7.8,7.6,7.5,7.4,7.4,7.3,7.2,7.1,7,6.9,6.9,6.8
Michigan,11,10.8,10.7,10.6,10.6,10.6,10.6,10.5,10.2,10,9.7,9.4
Minnesota,6.9,6.8,6.7,6.7,6.7,6.7,6.6,6.5,6.3,6.1,6,5.9
Mississippi,10.1,10.1,10.1,10.1,10.1,10.2,10.1,10.1,10,9.8,9.7,9.4
Missouri,9.3,9.1,8.9,8.8,8.7,8.6,8.5,8.4,8.2,8,7.8,7.6
Montana,7.3,7.3,7.2,7.2,7.1,7,7,6.9,6.8,6.6,6.5,6.4
Nebraska,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.2
Nevada,13.5,13.4,13.3,13.2,13.2,13.1,13.1,13,12.9,12.7,12.5,12.3
New Hampshire,5.4,5.3,5.3,5.3,5.3,5.4,5.5,5.5,5.5,5.5,5.5,5.4
New Jersey,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.3,9.3,9.3,9.2,9.2
New Mexico,7.7,7.5,7.4,7.4,7.4,7.4,7.5,7.5,7.6,7.6,7.6,7.6
New York,8.3,8.2,8.1,8.1,8.1,8.2,8.3,8.3,8.4,8.5,8.5,8.6
North Carolina,10.4,10.3,10.3,10.3,10.3,10.4,10.5,10.4,10.3,10.2,10,9.8
North Dakota,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.3
Ohio,9.3,9.1,9,9,9,9.1,9.1,9,8.8,8.5,8.3,8
Oklahoma,6.2,6.1,5.9,5.9,5.8,5.8,5.9,5.9,5.9,5.8,5.7,5.6
Oregon,9.9,9.7,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.2
Pennsylvania,7.9,7.9,7.8,7.8,7.9,8,8,8.1,8,8,7.9,7.8
Puerto Rico,16.2,16.4,16.5,16.5,16.3,16.1,15.9,15.7,15.6,15.5,15.5,15.4
Rhode Island,11,11,10.9,10.9,10.9,10.9,11,11,11.1,11.2,11.2,11.2
South Carolina,10.7,10.7,10.6,10.6,10.6,10.7,10.7,10.7,10.6,10.4,10.2,10
South Dakota,5,5,5,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4
Tennessee,9.5,9.4,9.3,9.2,9.2,9.1,9.1,9,8.8,8.6,8.3,8.1
Texas,8,7.9,7.9,7.9,7.9,7.9,7.9,7.8,7.7,7.6,7.4,7.2
Utah,7.5,7.4,7.2,7.1,7,6.8,6.7,6.5,6.4,6.3,6.1,6
Vermont,5.8,5.7,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.3,5.2
Virginia,6.7,6.6,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.6,6.5,6.4
Washington,9.6,9.5,9.5,9.4,9.4,9.4,9.3,9.3,9.2,9,8.9,8.8
West Virginia,8.7,8.5,8.3,8.2,8.1,8,8,8,7.9,7.8,7.7,7.5
Wisconsin,8,8,7.9,7.9,7.9,7.9,7.8,7.8,7.7,7.5,7.4,7.3
Wyoming,6.1,6.1,6,5.9,5.8,5.7,5.7,5.6,5.7,5.7,5.6,5.6
